s,date,open,high,low,close,log_ret,diff_date
bchusd,2020-02-07,444.76,459.49,430.03,439.39,-0.012664408618877,1
bchusd,2020-02-08,439.53,454.69,422.17,444.98,0.0126419359512581,1
bchusd,2020-02-09,444.52,461.36,434.14,449.8,0.0107737021892035,1
bchusd,2020-02-10,449.8,463,435,453.1,0.00730981214787728,1
bchusd,2020-02-11,452.23,470.81,440.29,463.85,0.0234483724261879,1
bchusd,2020-02-12,464.24,483.94,463.23,474.43,0.0225528593588418,1
bchusd,2020-02-13,473.56,486.96,457.56,476.99,0.00538144284987667,1
bchusd,2020-02-14,476.93,497.53,465.98,494.59,0.0362336102166538,1
bchusd,2020-02-15,493.35,496,420,439.03,-0.119161388654516,1
bchusd,2020-02-16,438.73,458.4,380.77,412.32,-0.0627680009660817,1
bchusd,2020-02-17,411.5,417.2,367.03,413,0.00164784605697774,1
bchusd,2020-02-18,413,422.46,386.7,417,0.00963862883776879,1
bchusd,2020-03-02,342.44,342.65,335.01,336.42,-0.214725842435165,13
bchusd,2020-03-03,334.69,334.69,319.3,329.57,-0.0205716048883139,1
bchusd,2020-03-04,329.61,333.28,310,319.56,-0.0308437248614812,1
bchusd,2020-03-05,319.54,344.65,319.54,337.06,0.0533159064340327,1
bchusd,2020-03-06,337.37,353.84,332.21,351.38,0.0416073028890342,1
bchusd,2020-03-07,351.6,352.68,327.1,330.81,-0.0603240664982113,1
bchusd,2020-03-08,331.23,331.69,267.07,272.88,-0.192512054328307,1
bchusd,2020-03-09,274.19,286,252.27,273.05,0.0006227904877725,1
bchusd,2020-03-10,273.05,279.02,262.48,271.61,-0.00528771474016707,1
bchusd,2020-03-11,271.4,275.59,249.43,266.9,-0.0174931574475173,1
bchusd,2020-03-12,267.08,269.2,135.69,143.85,-0.618102966412922,1
bchusd,2020-03-13,143.82,234.43,129.76,179.29,0.220233516609779,1
bchusd,2020-03-14,180.44,185.23,167.47,174.96,-0.0244472302388234,1
bchusd,2020-03-18,176.91,185.83,168.93,185.83,0.060274900917047,4
bchusd,2020-03-19,185.83,238.44,177.55,220.81,0.172470325946899,1
bchusd,2020-03-20,220.78,247.95,188.96,215.12,-0.0261065912718489,1
bchusd,2020-03-21,215,229.51,206.41,219.91,0.0220223597821473,1
bchusd,2020-03-22,219.99,234.58,197.43,202.55,-0.0822316020940569,1
bchusd,2020-03-23,202.64,228.57,198.86,217.69,0.0720852627641454,1
bchusd,2020-03-29,209.8,212.11,204,205.63,-0.0569935950794179,6
bchusd,2020-03-30,205.42,228.57,205.24,220.08,0.0679126792828921,1
bchusd,2020-03-31,220.48,224.32,215.26,218.47,-0.00734241127831781,1
bchusd,2020-04-01,219.01,226.21,210.5,223.71,0.0237018648858118,1
bchusd,2020-04-02,223.74,250.51,221.99,231.74,0.0352654833451031,1
bchusd,2020-04-03,231.77,242.46,230.19,236.29,0.0194438106425603,1
bchusd,2020-04-04,236.09,242.95,231.91,237.94,0.00695867683690329,1
bchusd,2020-04-05,238.47,240.35,223.62,231,-0.0296008305265864,1
bchusd,2020-04-06,230.91,259.96,230.81,257.94,0.110309289214452,1
bchusd,2020-04-07,258.48,266,244.77,252.59,-0.0209593788853597,1
bchusd,2020-04-08,252.59,281.23,249.86,267.27,0.0564917625497766,1
bchusd,2020-04-09,267.52,275.15,253.24,256.37,-0.0416376698799158,1
bchusd,2020-04-10,256.36,259.43,225.35,232.7,-0.0968716432125003,1
bchusd,2020-04-11,232.61,241.59,229.02,233.57,0.00373174774113932,1
bchusd,2020-04-14,225.85,229.18,219,223.04,-0.0461306904772263,3
bchusd,2020-04-15,223.04,225.51,206,215.04,-0.0365270702373744,1
bchusd,2020-04-16,214.97,240.6,204.4,226.54,0.0520974724377829,1
bchusd,2020-04-18,232.91,249.21,232.2,243.66,0.0728522811536939,2
bchusd,2020-04-19,244.14,245.23,228.72,231.21,-0.0524474224682497,1
bchusd,2020-04-20,231.21,238.88,215.66,219.36,-0.0526121726440073,1
bchusd,2020-04-21,219.43,223.95,215.11,219.77,0.00186732912411529,1
bchusd,2020-04-22,219.82,236.4,217.51,232.98,0.0583710680335113,1
bchusd,2020-04-23,233.02,247.79,225.8,237.39,0.0187517453175806,1
bchusd,2020-04-24,237.38,242.5,233.89,237.92,0.00223012442263337,1
bchusd,2020-04-25,237.99,246.11,235.1,238.01,0.000378206883671065,1
bchusd,2020-04-26,238.34,249.49,237.32,246.72,0.0359414007794485,1
bchusd,2020-04-27,246.29,248.3,234.11,242.75,-0.0162219832035303,1
